[ticker-service] Installing dependencies...
bun install v1.3.14 (0d9b296a)

+ socket.io@4.8.3

22 packages installed [111.00ms]
[ticker-service] Running bun run dev...
$ bun --hot index.ts
[ticker] Loaded 65 tick records
[ticker] Loaded 1 hourly records
[ticker-service] Notification push server on port 3004
[ticker-service] WebSocket server running on port 3003
[ticker-service] Source: Binance P2P API (only)
[ticker-service] Fetching every 10s, 20 ads per side
[ticker-service] Tick history: /home/z/my-project/mini-services/ticker-service/data/price-history.json
[ticker-service] Hourly history: /home/z/my-project/mini-services/ticker-service/data/hourly-history.json
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.21 | BUY: 50.96, SELL: 50.87 | Spread: 0.09 | 24h: +0.3% (+0.15) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 88, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.21 | BUY: 50.96, SELL: 50.87 | Spread: 0.09 | 24h: +0.3% (+0.15) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 89, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.21 | BUY: 50.96, SELL: 50.87 | Spread: 0.09 | 24h: +0.3% (+0.15) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 90, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.21 | BUY: 50.96, SELL: 50.87 | Spread: 0.09 | 24h: +0.3% (+0.15) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 91, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.21 | BUY: 50.96, SELL: 50.87 | Spread: 0.09 | 24h: +0.3% (+0.15) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 92, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.17 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 93, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 94, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 95, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 96, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 97, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 98, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.2 | BUY: 50.96, SELL: 50.86 | Spread: 0.10 | 24h: +0.3% (+0.15) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 99, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.2 | BUY: 50.96, SELL: 50.86 | Spread: 0.10 | 24h: +0.3% (+0.15) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 100, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 101, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 102, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 103, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 104, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 105, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 106, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 107, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 108, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 109, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 110, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 111, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 112, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 113, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 114, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.18 | BUY: 50.95, SELL: 50.85 | Spread: 0.10 | 24h: +0.28% (+0.14) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 115, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 116, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 117, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 118, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 119, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 120, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 121, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 122, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 123, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 124, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 125, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 126, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 127, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 128, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 129, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.13 | BUY: 50.92, SELL: 50.83 | Spread: 0.09 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 130, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.2 | BUY: 50.96, SELL: 50.86 | Spread: 0.10 | 24h: +0.3% (+0.15) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 131, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 132, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 133, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 134, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 135, Hourly: 2
